kode_barang,nama_barang,kategori_id,
PRD001,Chitato,1,
PRD002,Sprite,2,
PRD003,Beras Pandan Wangi,3,
PRD004,Susu Ultra,4,
PRD005,Sabun Lifebuoy,5,
PRD006,Rinso Deterjen,6,
PRD007,Bodrex,7,
PRD008,Pempers Baby Dry,8,
PRD009,Nugget So Nice,9,
PRD010,Kornet Pronas,10,
PRD011,Sapu Ijuk,11,
PRD012,Pensil 2B Faber-Castell,12,
PRD013,Lipstik Wardah,13,
PRD014,Roti Tawar Sari Roti,14,
PRD015,Charger HP Vivan,15,
PRD016,Wajan Supra,16,
PRD017,Shampoo Clear,17,
PRD018,Whiskas Cat Food,18,
PRD019,Oreo,19,
PRD020,Teh Hijau ,20,
PRD021,Beng-Beng,1,
PRD022,Aqua Botol,2,
PRD023,Gula Pasir Gulaku,3,
PRD024,Yogurt Cimory,4,
PRD025, Pepsodent,5,
PRD026,Karbol Wipol,6,
PRD027,Paracetamol,7,
PRD028,Cussons Baby Oil,8,
PRD029,Sosis Kanzler,9,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
