nama_supplier,telepon,email,alamat
PT. Sumber Makmur,81234567890,supplier1@mail.com,Jl. Raya Industri No. 1
CV. Anugerah Sejahtera,82345678901,supplier2@mail.com,Jl. Pahlawan No. 23
UD. Sentosa Abadi,83456789012,supplier3@mail.com,Jl. Merdeka No. 45
PT. Berkah Jaya,84567890123,supplier4@mail.com,Jl. Kebangkitan No. 67
CV. Tunas Mandiri,85678901234,supplier5@mail.com,Jl. Mawar No. 89
UD. Panca Karya,86789012345,supplier6@mail.com,Jl. Melati No. 11
PT. Cahaya Abadi,87890123456,supplier7@mail.com,Jl. Anggrek No. 13
CV. Mandala Utama,88901234567,supplier8@mail.com,Jl. Kenanga No. 15
UD. Sinar Sejati,89012345678,supplier9@mail.com,Jl. Dahlia No. 17
PT. Sukses Bersama,81123456789,supplier10@mail.com,Jl. Cempaka No. 19
CV. Harapan Baru,82234567890,supplier11@mail.com,Jl. Teratai No. 21
UD. Bintang Terang,83345678901,supplier12@mail.com,Jl. Flamboyan No. 23
PT. Jaya Sentosa,84456789012,supplier13@mail.com,Jl. Anyelir No. 25
CV. Bina Karya,85567890123,supplier14@mail.com,Jl. Kemuning No. 27
UD. Pertiwi,86678901234,supplier15@mail.com,Jl. Seruni No. 29
PT. Abadi Jaya,87789012345,supplier16@mail.com,Jl. Bougenville No. 31
CV. Multi Guna,88890123456,supplier17@mail.com,Jl. Tulip No. 33
UD. Amanah Bersama,89901234567,supplier18@mail.com,Jl. Bakung No. 35
PT. Sejahtera Makmur,81234567891,supplier19@mail.com,Jl. Teratai No. 37
CV. Prima Sentosa,82345678902,supplier20@mail.com,Jl. Kamboja No. 39
